Scripted Comedy	😂 HAHA	dm_suggestreply_haha
	🤣 I'm crying	dm_suggestreply_im_crying
	😹 LMAO	dm_suggestreply_lmao
	😆 Comedy gold!	dm_suggestreply_comedy_gold
	😅 People are hilarious	dm_suggestreply_people_hilar
Pranks	😂 LOL	dm_suggestreply_lol
	😆 Made my day	dm_suggestreply_made_my_day
	🤣 So funny!	dm_suggestreply_so_funny
	😅 Epic prank!	dm_suggestreply_epic_prank
	😹 OMG	dm_suggestreply_omg
Hilarious Fails	😅 I can't	dm_suggestreply_cant
	😂 Made my day	dm_suggestreply_made_my_day2
	🤣 I'm screaming	dm_suggestreply_im_screaming
	😹 Epic fail	dm_suggestreply_epic_fail
	😆 Wheezing!	dm_suggestreply_wheezing
Other Comedy	😹 Too funny!	dm_suggestreply_too_funny
	😂 HAHA	dm_suggestreply_haha
	🤣 Comedy gold!	dm_suggestreply_comedy_gold2
	😂 I love TikTok	dm_suggestreply_love_tiktok
	😅 Too good!	dm_suggestreply_too_good
Lip-sync	💯 Too good!	dm_suggestreply_too_good1
	😲 Huge fan!	dm_suggestreply_huge_fan
	👏 Wow	dm_suggestreply_wow
	👑 Iconic	dm_suggestreply_iconic
	👏 So talented!	dm_suggestreply_so_talented
Scripted Drama	😲 Viral material!	dm_suggestreply_viral_material
	😆 That's so good!	dm_suggestreply_thats_so_good
	😶 I'm speechless	dm_suggestreply_im_speechless
	😬 Cringe	dm_suggestreply_cringe
	👀 Wait a sec	dm_suggestreply_wait_a_sec
Dance	👏 Too good!	dm_suggestreply_too_good2
	💯 Perfection	dm_suggestreply_perfection
	😬 Cringe	dm_suggestreply_cringe
	😍 Amazing	dm_suggestreply_amazing
	💃 Love it!	dm_suggestreply_love_it
Finger Dance & Basic Dance	✅ Vibe check	dm_suggestreply_vibe_check
	👏 Wow!	dm_suggestreply_wow2
	🤯 Mind-blowing!	dm_suggestreply_mind_blowing
	🔍 So detailed	dm_suggestreply_so_detailed
	😳 No way!	dm_suggestreply_no_way
Singing & Instruments	😲 Huge fan	dm_suggestreply_huge_fan1
	💯 Too good!	dm_suggestreply_too_good1
	👏 So talented!	dm_suggestreply_so_talented
	🤩 That's incredible	dm_suggestreply_thats_incredib
	👌 Perfection	dm_suggestreply_perfection2
Graphic Art	😍 Amazing	dm_suggestreply_amazing
	😲 Unreal!	dm_suggestreply_unreal
